ID,Color,RGB,Blocks
0 NONE,,Transparent,"air, void air, cave air, barrier, cake (including cake with candles), powered rail, detector rail, torchs, redstone wire, ladder, rail, lever, buttons, repeater, tripwire hook, tripwire, flower pot (including potted plants), head, comparator, activator rail, end rod, glass, glass pane, nether portal, stained glass pane (all colors), structure void, iron bars, chain, light block, pink petals‌[BE only], pointed dripstone‌[BE only], redstone lamp‌[BE only]"
1 GRASS,,"127, 178, 56","grass block, slime block"
2 SAND,,"247, 233, 163","sand, suspicious sand, birch (planks, log (vertical), stripped log, wood, stripped wood, sign, pressure plate, trapdoor, stairs, slab, fence gate, fence, door), sandstone (all variants, all slabs, all stairs, all walls), glowstone, end stone, end stone bricks (slab, stairs, wall), bone block, turtle egg, scaffolding, candle, ochre froglight, frogspawn"
3 WOOL,,"199, 199, 199","cobweb, mushroom stem, bed (head), white candle"
4 FIRE,,"255, 0, 0","lava, TNT, fire, redstone block"
5 ICE,,"160, 160, 255","ice, frosted ice, packed ice, blue ice"
6 METAL,,"167, 167, 167","block of iron, iron door, brewing stand, heavy weighted pressure plate, iron trapdoor, lantern, anvil (all damage levels), grindstone, lodestone‌[JE only], heavy core, pale oak leaves, pale oak sapling, copper trapdoor‌[BE only] (including waxed and exposed/weathered variations)"
7 PLANT,,"0, 124, 0","sapling, flowers, wheat, sugar cane, pumpkin stem, melon stem, lily pad, cocoa, carrots, potatoes, beetroots, sweet berry bush, grass‌[JE only], tall_grass, fern‌[JE only], large fern, vines‌[JE only], leaves‌[JE only] (except pale oak leaves, cherry leaves), cactus, bamboo, cave vines, spore blossom, (flowering) azalea, dripleaf (big and small), pink petals‌[JE only], wildflowers, bush, torchflower seeds, pitcher pod, hanging roots‌[BE only]"
8 SNOW,,"255, 255, 255","snow, snow block, white (bed (foot), wool, stained glass, carpet, shulker box, glazed terracotta, concrete, concrete powder), powder snow, lodestone‌[BE only]"
9 CLAY,,"164, 168, 184","clay, heavy core"
10 DIRT,,"151, 109, 77","dirt, coarse dirt, farmland, dirt path, granite (slab, stairs, wall), polished granite (slab, stairs), jungle (planks, log (vertical), stripped log, wood, stripped wood, sign, pressure plate, trapdoor, stairs, slab, fence gate, fence, door), jukebox, brown mushroom block, rooted dirt, hanging roots‌[JE only], packed mud"
11 STONE,,"112, 112, 112","stone (slab, stairs), andesite (slab, stairs, wall), polished andesite (slab, stairs), cobblestone (slab, stairs, wall), bedrock, gold ore, iron ore, coal ore, lapis lazuli ore, dispenser, mossy cobblestone (slab, stairs, wall), monster spawner, diamond ore, furnace, stone pressure plate, redstone ore, stone bricks (all variants, all slabs, all stairs, all walls), emerald ore, ender chest, dropper, smooth stone (slab), observer, smoker, blast furnace, stonecutter, sticky piston, piston, piston head, gravel, suspicious gravel, acacia log (side), cauldron (including cauldrons with water, lava, or powdered snow), hopper, copper ore, crafter, vault, trial spawner, pale oak wood, pale oak log (side), infested block‌[BE only] (not including infested deepslate), heavy core"
12 WATER,,"64, 64, 255","kelp, seagrass, water, bubble column, waterlogged leaves"
13 WOOD,,"143, 119, 72","oak (planks, log (vertical), stripped log, wood, stripped wood, sign, door, pressure plate, fence, trapdoor, fence gate, slab, stairs), note block, bookshelf, chest, crafting table, trapped chest, daylight detector, loom, barrel, cartography table, fletching table, lectern, smithing table, composter, bamboo sapling, dead bush, petrified oak slab, beehive, banners (all colors, when not as markers)"
14 QUARTZ,,"255, 252, 245","diorite (stairs, slab, wall), polished diorite (stairs, slab), birch log (side), quartz block (all variants, all slabs, all stairs), sea lantern, target, pale oak (planks, log (vertical), stripped log, stripped wood, sign, pressure plate, trapdoor, stairs, slab, fence gate, fence, door)"
15 COLOR_ORANGE,,"216, 127, 51","acacia (planks, log (vertical), stripped log, stripped wood‌[JE only], sign, trapdoor, slab, stairs, pressure plate, fence gate, fence, door), red sand, orange (wool, carpet, shulker box, bed (foot), stained glass, glazed terracotta, concrete, concrete powder, candle), pumpkin, carved pumpkin, jack o'lantern, terracotta, red sandstone (all variants, all stairs, all slabs, all walls), honey block, honeycomb block, block of copper (including all cut, waxed, stair, trapdoor‌[JE only], and slab variants), lightning rod, block of raw copper, creaking heart (all orientations, active & inactive), open eyeblossom"
16 COLOR_MAGENTA,,"178, 76, 216","magenta (wool, carpet, shulker box, bed (foot), stained glass, glazed terracotta, concrete, concrete powder, candle), purpur (all variants, slab, stairs)"
17 COLOR_LIGHT_BLUE,,"102, 153, 216","light blue (wool, carpet, shulker box, bed (foot), stained glass, glazed terracotta, concrete, concrete powder, candle), soul fire"
